Date & Time,Temp ,Hum,Dew Point,Avg Wind Speed,Prevailing Wind Direction,Wind Chill,Heat Index,Rain,Heating Degree Days,Cooling Degree Days,Harvest Day
"Wednesday, January 29, 2020",46.00,91.00,44.00,6.00,SE,43.00,46.00,0.00,0.19,0.00,0.00
"Wednesday, January 29, 2020",46.00,92.00,44.00,5.00,S,44.00,46.00,0.01,0.19,0.00,0.00
"Wednesday, January 29, 2020",46.00,92.00,44.00,6.00,SSE,44.00,46.00,0.02,0.20,0.00,0.00
"Wednesday, January 29, 2020",46.00,92.00,44.00,5.00,S,44.00,46.00,0.01,0.20,0.00,0.00
"Wednesday, January 29, 2020",46.00,92.00,44.00,3.00,S,46.00,47.00,0.01,0.19,0.00,0.00
"Wednesday, January 29, 2020",46.00,93.00,44.00,5.00,S,45.00,47.00,0.01,0.19,0.00,0.00
"Wednesday, January 29, 2020",47.00,93.00,45.00,4.00,SSE,44.00,47.00,0.01,0.19,0.00,0.00
"Wednesday, January 29, 2020",47.00,93.00,45.00,4.00,S,45.00,47.00,0.01,0.19,0.00,0.00
"Wednesday, January 29, 2020",47.00,93.00,45.00,3.00,SSE,46.00,47.00,0.00,0.19,0.00,0.00
"Wednesday, January 29, 2020",47.00,93.00,45.00,3.00,S,46.00,47.00,0.69,0.19,0.00,0.00
"Wednesday, January 29, 2020",47.00,93.00,45.00,4.00,S,45.00,47.00,0.01,0.19,0.00,0.00
"Wednesday, January 29, 2020",47.00,93.00,45.00,4.00,SSE,45.00,47.00,0.00,0.19,0.00,0.00
"Wednesday, January 29, 2020",47.00,94.00,45.00,3.00,S,46.00,47.00,0.01,0.19,0.00,0.00
"Wednesday, January 29, 2020",46.00,94.00,45.00,4.00,S,45.00,46.00,0.01,0.19,0.00,0.00
"Wednesday, January 29, 2020",46.00,94.00,45.00,3.00,SSE,46.00,46.00,0.02,0.20,0.00,0.00
"Wednesday, January 29, 2020",46.00,94.00,45.00,2.00,SSE,46.00,46.00,0.01,0.20,0.00,0.00
"Wednesday, January 29, 2020",46.00,94.00,45.00,2.00,S,46.00,46.00,0.02,0.20,0.00,0.00
"Wednesday, January 29, 2020",46.00,94.00,45.00,3.00,SSE,46.00,46.00,0.02,0.20,0.00,0.00
"Wednesday, January 29, 2020",46.00,94.00,45.00,2.00,S,46.00,46.00,0.02,0.20,0.00,0.00
"Wednesday, January 29, 2020",46.00,94.00,45.00,1.00,SSE,46.00,46.00,0.02,0.20,0.00,0.00
"Wednesday, January 29, 2020",46.00,94.00,45.00,2.00,SSW,46.00,47.00,0.01,0.19,0.00,0.00
"Wednesday, January 29, 2020",46.00,94.00,45.00,1.00,S,46.00,46.00,0.01,0.19,0.00,0.00
"Wednesday, January 29, 2020",46.00,95.00,45.00,1.00,NNW,46.00,46.00,0.01,0.19,0.00,0.00
